AudioFile,被調査者番号,出生地,直前地,生育地,本籍地,父親の出身地,母親の出身地,配偶者出身地,年齢,性,調査員,startIndex,endIndex
91_012K.wav,012,1,1,1,1,1,1,5,37,1,4,919,1011
91_013K.wav,013,1,4,1,1,1,1,2,31,1,4,1012,1095
91_014K.wav,014,4,4,4,1,4,4,1,68,2,4,1096,1197
91_015K.wav,015,1,3,1,1,1,1,1,35,1,4,1198,1281
91_018K.wav,018,1,1,1,1,4,1,1,56,1,4,1282,1383
91_019K.wav,019,2,4,2,1,2,2,1,64,2,4,1384,1510
91_020K.wav,020,1,4,1,1,1,1,1,38,1,3,1511,1591
91_021K.wav,021,1,3,1,1,1,1,1,48,1,3,1592,1691
91_023K.wav,023,1,1,1,1,2,1,1,36,2,3,1692,1774
91_025K.wav,025,2,2,2,2,2,2,1,56,1,3,1775,1858
91_026K.wav,026,3,3,3,3,3,3,5,27,1,3,1859,1949
91_027K.wav,027,4,4,1,1,1,1,1,48,1,3,1950,1996
91_028K.wav,028,2,2,2,1,2,2,1,61,1,3,1997,2077
91_030K.wav,030,1,1,1,1,4,1,5,18,1,1,2078,2162
91_031K.wav,031,4,4,4,1,4,4,3,39,1,12,2163,2248
91_032K.wav,032,3,4,4,1,3,3,1,61,2,19,2249,2328
91_034K.wav,034,1,1,1,1,1,1,2,63,2,1,2329,2430
91_035K.wav,035,3,3,3,1,3,3,1,38,1,1,2431,2592
91_036K.wav,036,2,2,2,1,2,2,2,57,2,2,2593,2674
91_039K.wav,039,1,1,1,1,1,1,5,42,1,1,2675,2813
91_040K.wav,040,2,2,1,2,2,4,5,21,2,2,2814,2900
91_041K.wav,041,3,3,3,3,3,3,1,60,2,2,2901,2992
91_042K.wav,042,1,1,1,1,1,1,5,24,1,1,2993,3081
91_044K.wav,044,1,3,1,1,3,1,5,29,1,2,3082,3163
91_046K.wav,046,1,1,1,1,1,1,1,59,2,3,3164,3249
91_047K.wav,047,1,1,1,1,1,1,5,41,1,3,3250,3336
91_048K.wav,048,2,2,2,2,2,2,2,56,1,3,3337,3458
91_050K.wav,050,1,1,1,1,1,2,1,54,1,3,3459,3555
91_052K.wav,052,1,4,1,1,2,1,2,61,1,1,3556,3652
91_053K.wav,053,1,1,1,1,2,1,1,33,1,4,3653,3755
91_054K.wav,054,2,2,2,1,2,2,1,66,1,4,3756,3847
91_055K.wav,055,2,2,2,1,2,2,2,69,1,4,3848,3968
91_056K.wav,056,3,3,3,1,3,4,1,66,2,4,3969,4073
91_057K.wav,057,1,1,1,1,2,2,5,16,1,4,4074,4165
91_058K.wav,058,2,2,2,1,2,2,2,56,2,4,4166,4269
91_059K.wav,059,2,4,2,2,2,2,5,38,1,4,4270,4353
91_060K.wav,060,1,1,1,1,1,1,5,15,1,4,4354,4438
91_061K.wav,061,4,2,2,2,4,2,2,29,2,4,4439,4544
91_062K.wav,062,1,1,1,1,1,1,2,46,1,4,4545,4653
91_063K.wav,063,2,2,2,1,2,2,2,31,2,8,4654,4739
91_064K.wav,064,1,4,1,1,1,1,1,69,2,4,4740,4847
91_065K.wav,065,2,2,2,1,2,2,2,57,2,4,4848,5037
91_067K.wav,067,1,3,1,1,1,4,3,30,2,4,5038,5125
91_068K.wav,068,1,1,1,1,4,2,5,17,2,4,5126,5229
91_069K.wav,069,1,1,1,1,3,2,5,18,1,1,5230,5314
91_070K.wav,070,2,3,1,2,2,2,5,17,2,4,5315,5398
91_071K.wav,071,3,3,3,3,3,3,3,33,2,1,5399,5480
91_072K.wav,072,1,4,1,1,1,1,1,39,2,4,5481,5576
91_073K.wav,073,1,1,1,1,2,1,1,36,2,4,5577,5678
91_074K.wav,074,1,4,1,1,2,2,5,26,1,3,5679,5764
91_075K.wav,075,2,2,2,1,2,2,2,52,1,3,5765,5856
91_076K.wav,076,2,2,2,1,2,2,1,37,1,3,5857,5942
91_077K.wav,077,1,1,1,1,3,1,5,16,1,3,5943,6017
91_078K.wav,078,1,4,2,1,1,2,5,37,1,3,6018,6102
91_079K.wav,079,1,1,1,1,1,2,1,33,1,3,6103,6224
91_080K.wav,080,2,4,2,1,1,2,5,33,2,3,6225,6313
91_081K.wav,081,1,4,1,1,2,1,1,38,2,3,6314,6393
91_082K.wav,082,1,4,1,1,1,1,4,44,1,3,6394,6481
91_083K.wav,083,1,2,1,1,1,2,2,42,2,3,6482,6565
91_084K.wav,084,1,4,1,1,1,1,5,37,1,3,6566,6646
91_085K.wav,085,2,2,2,1,2,2,2,33,1,3,6647,6735
91_086K.wav,086,1,1,1,1,1,1,2,56,1,15,6736,6882
91_087K.wav,087,1,2,1,1,1,2,2,38,2,2,6883,6968
91_088K.wav,088,1,1,1,1,1,1,1,44,1,8,6969,7063
91_089K.wav,089,1,1,1,1,1,2,1,42,2,2,7064,7148
91_090K.wav,090,3,4,1,1,3,3,1,43,1,2,7149,7242
91_091K.wav,091,1,4,1,1,1,1,1,39,1,15,7243,7346
91_092K.wav,092,2,2,2,1,2,2,1,55,1,2,7347,7426
91_093K.wav,093,1,1,1,1,1,2,1,39,1,2,7427,7506
91_094K.wav,094,1,1,1,1,1,1,1,63,1,2,7507,7635
91_095K.wav,095,1,1,3,1,1,1,1,67,1,2,7636,7709
91_097K.wav,097,1,1,1,1,1,1,1,34,2,2,7710,7793
91_098K.wav,098,1,1,1,2,1,1,2,36,2,2,7794,7893
91_099K.wav,099,1,4,1,1,1,2,1,31,2,2,7894,7999
91_100K.wav,100,2,2,2,1,2,2,2,44,2,2,8000,8101
91_104K.wav,104,1,1,1,1,1,2,5,16,2,6,8102,8181
91_106K.wav,106,1,4,1,1,1,2,3,48,1,5,8182,8264
91_107K.wav,107,4,4,2,1,2,2,1,51,2,6,8265,8352
91_108K.wav,108,1,4,1,1,1,1,2,35,1,5,8353,8437
91_109K.wav,109,1,1,1,1,1,1,1,53,1,18,8438,8540
91_110K.wav,110,1,1,1,1,1,1,1,52,2,5,8541,8635
91_112K.wav,112,3,4,3,1,3,3,1,50,2,6,8636,8727
91_113K.wav,113,2,4,2,1,2,2,1,61,1,5,8728,8813
91_114K.wav,114,3,4,3,3,3,3,1,66,2,7,8814,8924
91_115K.wav,115,1,1,1,1,2,2,1,56,2,7,8925,9010
91_116K.wav,116,2,2,2,1,2,2,5,48,2,7,9011,9098
91_117K.wav,117,1,1,1,1,1,1,5,20,1,15,9099,9242
91_118K.wav,118,1,4,1,1,1,2,2,36,1,7,9243,9327
91_120K.wav,120,1,1,1,2,1,2,2,43,2,7,9328,9421
91_122K.wav,122,3,4,3,1,3,2,1,61,1,7,9422,9505
91_124K.wav,124,4,4,1,1,1,1,1,59,1,1,9506,9593
91_125K.wav,125,2,2,2,1,2,2,5,41,1,7,9594,9680
91_126K.wav,126,1,1,1,1,2,1,1,61,2,7,9681,9774
91_129K.wav,129,1,1,1,1,2,1,2,65,2,5,9775,9866
91_131K.wav,131,1,1,1,1,1,1,1,57,2,15,9867,9977
91_132K.wav,132,2,2,1,1,1,1,2,39,2,6,9978,10087
91_133K.wav,133,4,4,1,1,1,1,5,55,1,12,10088,10204
91_136K.wav,136,1,4,1,1,1,2,5,21,2,1,10205,10287
91_137K.wav,137,2,2,2,1,2,2,1,31,2,6,10288,10365
